,track_name,start_point,l,r,d1,d2,d3,d4,d5
0,Side Effects Project - Sing With Me,0,0.017504818737506866,0.017747405916452408,0.0014562944415956736,0.002895949175581336,0.00101272773463279,0.0022326065227389336,0.0011152728693559766
1,Side Effects Project - Sing With Me,176400,0.023465631529688835,0.0233758557587862,0.0020493485499173403,0.004061751998960972,0.0013419328024610877,0.003111946163699031,0.0015163276111707091
2,Side Effects Project - Sing With Me,352800,0.020784009248018265,0.020881446078419685,0.001738261547870934,0.003107405034825206,0.0012881456641480327,0.0025017387233674526,0.0013042103964835405
3,Side Effects Project - Sing With Me,529200,0.02046559378504753,0.020233381539583206,0.001733546145260334,0.0032299659214913845,0.0013361715245991945,0.0026032766327261925,0.0013166462304070592
4,Side Effects Project - Sing With Me,705600,0.024877259507775307,0.025120621547102928,0.0021343911066651344,0.0038921863306313753,0.0015581354964524508,0.0031582005321979523,0.0015786895528435707
5,Side Effects Project - Sing With Me,882000,0.023494509980082512,0.023464754223823547,0.0019338259007781744,0.0036104361061006784,0.001276313210837543,0.002844204194843769,0.0014279275201261044
6,Side Effects Project - Sing With Me,1058400,0.027252454310655594,0.027730202302336693,0.002315478166565299,0.004342036321759224,0.001652084058150649,0.0034445328637957573,0.00171019381377846
7,Side Effects Project - Sing With Me,1234800,0.023023653775453568,0.02307979203760624,0.0019123211968690157,0.0035275742411613464,0.0014603366144001484,0.0028374409303069115,0.0014466160209849477
8,Side Effects Project - Sing With Me,1411200,0.02554052509367466,0.025589151307940483,0.0019900440238416195,0.0036192985717207193,0.0015619940822944045,0.002919829450547695,0.001558598829433322
9,Side Effects Project - Sing With Me,1587600,0.025194071233272552,0.024927249178290367,0.002057319972664118,0.003846614621579647,0.0015042481245473027,0.00308339879848063,0.0015657783951610327
10,Side Effects Project - Sing With Me,1764000,0.032290127128362656,0.03280838578939438,0.0027083968743681908,0.005137065891176462,0.002042544772848487,0.0040422361344099045,0.0020469932351261377
11,Side Effects Project - Sing With Me,1940400,0.017335649579763412,0.017358316108584404,0.0015065140323713422,0.0028528179973363876,0.0009357978124171495,0.0022238169331103563,0.001072946935892105
12,Side Effects Project - Sing With Me,2116800,0.018282955512404442,0.018412373960018158,0.001601675059646368,0.0030213312711566687,0.0010752215748652816,0.0023529352620244026,0.001158414757810533
13,Side Effects Project - Sing With Me,2293200,0.019430289044976234,0.019167741760611534,0.001685634022578597,0.003284547245129943,0.0010328495409339666,0.0025412263348698616,0.0012085929047316313
14,Side Effects Project - Sing With Me,2469600,0.019963804632425308,0.020086273550987244,0.0019368291832506657,0.003802811959758401,0.0012043975293636322,0.002877990948036313,0.0013406567741185427
15,Side Effects Project - Sing With Me,2646000,0.0239688903093338,0.02361256629228592,0.0017052505863830447,0.003166988492012024,0.0016212054761126637,0.0026064086705446243,0.001465448527596891
16,Side Effects Project - Sing With Me,2822400,0.02609286457300186,0.026098638772964478,0.002187687437981367,0.004292820114642382,0.0017211525700986385,0.003426179988309741,0.0016840429743751884
17,Side Effects Project - Sing With Me,2998800,0.025290919467806816,0.02500610612332821,0.002060497645288706,0.0037884863559156656,0.001623053103685379,0.00305413780733943,0.0015749322483316064
18,Side Effects Project - Sing With Me,3175200,0.020630743354558945,0.020820697769522667,0.0017689624801278114,0.003365810727700591,0.0012717669596895576,0.0026520946994423866,0.0013123787939548492
19,Side Effects Project - Sing With Me,3351600,0.018494881689548492,0.01878303289413452,0.0015716716879978776,0.0030035371892154217,0.0012261772062629461,0.0023694850970059633,0.0012201322242617607
20,Side Effects Project - Sing With Me,3528000,0.024026544764637947,0.024200081825256348,0.002189050428569317,0.004433710593730211,0.001516333781182766,0.003361858893185854,0.00159268022980541
21,Side Effects Project - Sing With Me,3704400,0.02592158317565918,0.0256895050406456,0.002168916864320636,0.004074653144925833,0.0015933910617604852,0.0032188822515308857,0.0016222756821662188
22,Side Effects Project - Sing With Me,3880800,0.024381006136536598,0.02396758459508419,0.002113672439008951,0.003970363177359104,0.0014690820826217532,0.0031791641376912594,0.0015361926052719355
23,Side Effects Project - Sing With Me,4057200,0.016677653416991234,0.016450410708785057,0.0015268127899616957,0.003018403658643365,0.0009999411413446069,0.0023180441930890083,0.0010997565696015954
24,Side Effects Project - Sing With Me,4233600,0.023020880296826363,0.02285066246986389,0.0020921765826642513,0.0040910812094807625,0.0013454834697768092,0.003132509533315897,0.0014766501262784004
25,Side Effects Project - Sing With Me,4410000,0.024508144706487656,0.024415168911218643,0.0021174089051783085,0.003949020057916641,0.0014047782169654965,0.0030708485282957554,0.0015086402418091893
26,Side Effects Project - Sing With Me,4586400,0.021546220406889915,0.021347133442759514,0.001959665445610881,0.003806962165981531,0.0012821900891140103,0.0029229449573904276,0.0014116899110376835
27,Side Effects Project - Sing With Me,4762800,0.015163781121373177,0.015417199581861496,0.001402469933964312,0.0026348819956183434,0.0009386485326103866,0.0020727403461933136,0.0009956100257113576
28,Side Effects Project - Sing With Me,4939200,0.018786558881402016,0.01841684989631176,0.0016200875397771597,0.0031922264024615288,0.0012089039664715528,0.0024882094003260136,0.001193506526760757
29,Side Effects Project - Sing With Me,5115600,0.028432127088308334,0.028549345210194588,0.0025728498585522175,0.004831686150282621,0.0017427003476768732,0.003763987449929118,0.001863062847405672
30,Side Effects Project - Sing With Me,5292000,0.025292927399277687,0.025180773809552193,0.002192068612203002,0.004125097766518593,0.0017486956203356385,0.003286214079707861,0.0016703446162864566
