19.27	35
19.27	49
19.42	35
19.56	35
19.56	42
19.71	35
19.85	38
19.85	42
20.13	42
20.41	42
20.7	35
20.7	42
20.99	38
20.99	42
21.27	42
21.27	49
21.42	35
21.56	35
21.56	42
21.7	35
21.7	42
21.85	35
21.85	42
21.99	35
21.99	42
22.13	38
22.13	42
22.42	42
22.7	42
22.98	35
22.98	42
23.27	38
23.27	42
23.55	42
23.84	35
23.84	42
23.98	35
23.98	42
24.13	35
24.13	42
24.27	35
24.27	42
24.41	38
24.41	42
24.7	42
24.99	42
25.27	35
25.27	42
25.56	38
25.56	42
25.69	42
25.83	42
25.98	35
26.12	35
26.12	42
26.27	35
26.27	42
26.41	35
26.41	42
26.55	35
26.55	42
26.69	38
26.69	42
26.98	42
27.27	42
27.55	35
27.55	42
27.84	38
27.84	42
28.12	42
28.4	42
28.41	35
28.55	35
28.55	42
28.69	35
28.69	42
28.84	35
28.84	42
28.98	38
28.98	42
29.27	42
29.55	42
29.83	35
29.83	42
29.98	42
30.12	38
30.12	42
30.4	42
30.55	35
30.69	35
30.69	42
30.83	35
30.83	42
30.97	35
30.97	42
31.12	35
31.12	42
31.26	38
31.26	42
31.55	42
31.83	42
32.12	35
32.12	42
32.4	38
32.4	42
32.69	42
32.97	35
32.97	42
33.11	42
33.26	35
33.26	42
33.4	35
33.4	42
33.54	38
33.54	42
33.83	42
33.97	42
34.12	42
34.4	35
34.4	42
34.69	38
34.69	42
34.97	49
35.11	35
35.25	35
35.25	42
35.41	35
35.54	35
35.54	42
35.69	35
35.69	42
35.82	38
35.82	42
36.11	42
36.68	35
36.68	42
36.97	38
36.97	42
37.11	38
37.25	42
37.54	35
37.54	42
37.68	35
37.68	42
37.82	35
37.82	42
37.97	35
37.97	42
38.11	38
38.11	42
38.4	42
38.67	42
38.96	35
38.96	42
39.25	38
39.25	42
39.54	42
39.68	35
39.82	35
39.82	42
39.96	42
40.11	35
40.11	42
40.25	35
40.25	42
40.39	38
40.39	42
40.68	42
40.97	42
41.25	35
41.25	42
41.53	38
41.53	42
41.82	42
42.1	35
42.1	42
42.25	35
42.25	42
42.39	35
42.39	42
42.53	35
42.53	42
42.68	38
42.68	42
42.96	42
43.09	42
43.25	42
43.53	35
43.53	42
43.68	42
43.82	38
43.82	42
44.1	42
44.25	35
44.39	35
44.39	42
44.53	35
44.53	42
44.67	42
44.68	35
44.82	35
44.82	42
44.96	38
44.96	42
45.25	42
45.53	42
45.81	35
45.81	42
46.1	38
46.1	42
46.24	38
46.38	42
46.67	35
46.67	49
46.96	35
46.96	42
47.1	35
47.24	38
47.24	42
47.52	42
47.81	42
48.1	35
48.1	42
48.38	38
48.38	42
48.67	42
48.81	35
48.95	35
48.95	42
49.09	42
49.24	35
49.24	42
49.38	35
49.38	42
49.52	38
49.52	42
49.81	42
49.96	42
50.1	42
50.38	35
50.38	42
50.66	38
50.66	42
50.95	42
51.23	35
51.23	42
51.52	38
51.52	42
51.66	35
51.66	42
51.81	38
51.81	42
52.09	42
52.38	42
52.66	35
52.66	42
52.95	38
52.95	42
53.23	49
53.38	35
53.52	35
53.52	49
53.66	38
53.8	35
53.8	42
53.95	35
54.09	38
