,track_name,start_point,l,r,d1,d2,d3,d4,d5
0,Side Effects Project - Sing With Me,0,0.00847876537591219,0.009035788476467133,0.0013131293235346675,0.003595398971810937,0.001025103498250246,0.0019301261054351926,0.0012957039289176464
1,Side Effects Project - Sing With Me,176400,0.010003777220845222,0.00987786054611206,0.0014992222422733903,0.003713929792866111,0.0011147578479722142,0.002108995569869876,0.0014358478365465999
2,Side Effects Project - Sing With Me,352800,0.009395268745720387,0.009211353957653046,0.0013193447375670075,0.003124367678537965,0.0009816167876124382,0.0017225277842953801,0.001378120738081634
3,Side Effects Project - Sing With Me,529200,0.005141413304954767,0.005419088061898947,0.0007425169460475445,0.001818290213122964,0.0005671862745657563,0.0010865152580663562,0.000751814863178879
4,Side Effects Project - Sing With Me,705600,0.00896846316754818,0.009578708559274673,0.00130656233523041,0.00313003221526742,0.001011779997497797,0.0017958059906959534,0.0013177309883758426
5,Side Effects Project - Sing With Me,882000,0.007628919091075659,0.009425035677850246,0.0012155973818153143,0.0029668936040252447,0.0009528414811939001,0.0017964850412681699,0.0012342550326138735
6,Side Effects Project - Sing With Me,1058400,0.0061232964508235455,0.006333744153380394,0.0008124632877297699,0.0020192747469991446,0.0006448884960263968,0.0011785064125433564,0.0008684769854880869
7,Side Effects Project - Sing With Me,1234800,0.004023900721222162,0.0041189552284777164,0.0005136366817168891,0.0012554220156744123,0.00041976399370469153,0.000770143757108599,0.0005446387222036719
8,Side Effects Project - Sing With Me,1411200,0.006167188752442598,0.006627697963267565,0.0010641226544976234,0.0023978431709110737,0.0007669648621231318,0.0013861104380339384,0.0010590242454782128
9,Side Effects Project - Sing With Me,1587600,0.006280707661062479,0.00671242643147707,0.0009196855826303363,0.002339745871722698,0.0007244316511787474,0.0013806942151859403,0.0010020422050729394
10,Side Effects Project - Sing With Me,1764000,0.012530369684100151,0.013117644004523754,0.00191871530842036,0.004492534324526787,0.0014529249165207148,0.0026262984611094,0.0019518972840160131
11,Side Effects Project - Sing With Me,1940400,0.004695642273873091,0.0053738756105303764,0.0006953065167181194,0.0018506008200347424,0.0005415478954091668,0.0010051334975287318,0.0007287559565156698
12,Side Effects Project - Sing With Me,2116800,0.007187296636402607,0.0076057808473706245,0.0011136371176689863,0.002518940484151244,0.0007898016483522952,0.0014847965212538838,0.0010458792094141245
13,Side Effects Project - Sing With Me,2293200,0.00697895884513855,0.007056595291942358,0.0010180446552112699,0.0026890600565820932,0.0007264342857524753,0.001516783144325018,0.0010947162518277764
14,Side Effects Project - Sing With Me,2469600,0.011751811020076275,0.011273717507719994,0.001657371874898672,0.004086898174136877,0.0013034079456701875,0.00221233326010406,0.0017077295342460275
15,Side Effects Project - Sing With Me,2646000,0.017417605966329575,0.01909422129392624,0.0029785791411995888,0.007196021266281605,0.002041925908997655,0.003759177401661873,0.002898474922403693
16,Side Effects Project - Sing With Me,2822400,0.005956095643341541,0.006105865351855755,0.0008262286428362131,0.0022165896371006966,0.0006633558659814298,0.0012383342254906893,0.0008784203673712909
17,Side Effects Project - Sing With Me,2998800,0.014991709031164646,0.0167009849101305,0.0024251227732747793,0.006794785149395466,0.0018162537598982453,0.0036098132841289043,0.002562747336924076
18,Side Effects Project - Sing With Me,3175200,0.00442748237401247,0.004618081729859114,0.0006523425690829754,0.0018312269821763039,0.0004983106628060341,0.0009715796913951635,0.0006958687445148826
19,Side Effects Project - Sing With Me,3351600,0.00449965987354517,0.00457298569381237,0.0007006398518569767,0.0017439221264794469,0.0005366402911022305,0.000974693859461695,0.000720393203664571
20,Side Effects Project - Sing With Me,3528000,0.003530242945998907,0.003930387087166309,0.000467578909592703,0.0012064832262694836,0.0003690042649395764,0.0006824882002547383,0.0004984585102647543
21,Side Effects Project - Sing With Me,3704400,0.0271188635379076,0.022113967686891556,0.003812431124970317,0.009332270361483097,0.0028774142265319824,0.005727050825953484,0.00379639002494514
22,Side Effects Project - Sing With Me,3880800,0.012678829953074455,0.01316731609404087,0.0018888558261096478,0.00402224063873291,0.0014497280353680253,0.0024179732427001,0.0018956197891384363
23,Side Effects Project - Sing With Me,4057200,0.003989418502897024,0.004325319081544876,0.0005375489126890898,0.001352322637103498,0.00040236240602098405,0.0007500720676034689,0.0005538783152587712
24,Side Effects Project - Sing With Me,4233600,0.00811062939465046,0.008546286262571812,0.0011327109532430768,0.002899219049140811,0.0008244428317993879,0.0016574295004829764,0.0011839509243145585
25,Side Effects Project - Sing With Me,4410000,0.007473583333194256,0.007781279273331165,0.0010665790177881718,0.002860028063878417,0.000838909880258143,0.0015852784272283316,0.0011509447358548641
26,Side Effects Project - Sing With Me,4586400,0.005641610361635685,0.00605078786611557,0.0008639595471322536,0.0022612058091908693,0.0006317133083939552,0.0012139137834310532,0.0008604027098044753
27,Side Effects Project - Sing With Me,4762800,0.006153536029160023,0.006571871228516102,0.0009666892583481967,0.002475777408108115,0.0007418928435072303,0.0013447054661810398,0.0010266612516716123
28,Side Effects Project - Sing With Me,4939200,0.007260121870785952,0.007293103262782097,0.001021809410303831,0.002523699076846242,0.0007817459991201758,0.001520829857327044,0.001055547734722495
29,Side Effects Project - Sing With Me,5115600,0.0036050789058208466,0.0038595867808908224,0.0005329971900209785,0.0013926634564995766,0.0004010199918411672,0.0007746134651824832,0.0005642853793688118
30,Side Effects Project - Sing With Me,5292000,0.0036857386585325003,0.004022112116217613,0.0005562744336202741,0.0014433005126193166,0.0004198370152153075,0.0007917927578091621,0.0005779633647762239
