,track_name,slice,drum,recall,precision,f1,jaccard,accuracy
0,MusicDelta_80sRock,0,0,0.7999546485260771,0.6399274396984795,0.7110484036056073,0.6399274396984795,0.7999546485260771
1,MusicDelta_80sRock,0,1,0.8999773242630386,0.8099591841876584,0.8525987903585374,0.8099591841876584,0.8999773242630386
2,MusicDelta_80sRock,0,2,1.0,1.0,1.0,1.0,1.0
3,MusicDelta_80sRock,0,3,1.0,1.0,1.0,1.0,1.0
4,MusicDelta_80sRock,0,4,0.975,1.0,0.9873417721518987,0.975,0.975
5,MusicDelta_80sRock,0,all,0.9349863945578232,0.8832909447045492,0.9084037928668373,0.8788744899810265,0.9349863945578232
6,MusicDelta_80sRock,1,0,0.7749716553287982,0.6729785782415764,0.7203829395360877,0.6393296493294975,0.7749716553287982
7,MusicDelta_80sRock,1,1,0.924982993197279,0.8555935377041974,0.8889362043485993,0.8555935377041974,0.924982993197279
8,MusicDelta_80sRock,1,2,1.0,1.0,1.0,1.0,1.0
9,MusicDelta_80sRock,1,3,1.0,1.0,1.0,1.0,1.0
10,MusicDelta_80sRock,1,4,0.9499943310657596,0.9499888075217683,0.949991569285735,0.926239087333724,0.9499943310657596
11,MusicDelta_80sRock,1,all,0.9299897959183674,0.8922140786305197,0.9107103771322052,0.8788308674510621,0.9299897959183674
12,MusicDelta_80sRock,2,0,0.8249603174603175,0.6805595253842278,0.7458348752824606,0.6805595253842278,0.8249603174603175
13,MusicDelta_80sRock,2,1,0.8999773242630386,0.8099591841876584,0.8525987903585374,0.8099591841876584,0.8999773242630386
14,MusicDelta_80sRock,2,2,0.975,1.0,0.9873417721518987,0.975,0.975
15,MusicDelta_80sRock,2,3,1.0,1.0,1.0,1.0,1.0
16,MusicDelta_80sRock,2,4,0.975,1.0,0.9873417721518987,0.975,0.975
17,MusicDelta_80sRock,2,all,0.9349875283446712,0.8924763166096202,0.9132374658759462,0.8835515534435241,0.9349875283446712
18,MusicDelta_80sRock,3,0,0.8147278911564626,0.8112695266916193,0.7518092105352896,0.6681291460751353,0.8147278911564626
19,MusicDelta_80sRock,3,1,0.8954421768707483,0.8580350916884769,0.8661628511461597,0.8138208738681365,0.8954421768707483
20,MusicDelta_80sRock,3,2,1.0,1.0,1.0,1.0,1.0
21,MusicDelta_80sRock,3,3,0.975,1.0,0.9873417721518987,0.975,0.975
22,MusicDelta_80sRock,3,4,0.9499943310657596,0.9499888075217683,0.949991569285735,0.926239087333724,0.9499943310657596
23,MusicDelta_80sRock,3,all,0.9270328798185941,0.8982858057392208,0.9085726807377499,0.8713066169581756,0.9270328798185941
24,MusicDelta_80sRock,4,0,0.7999603174603175,0.6768569409720203,0.7332778517904954,0.6599355174477198,0.7999603174603175
25,MusicDelta_80sRock,4,1,0.8999829931972789,0.8538143208966823,0.8762909624505554,0.8324689628742653,0.8999829931972789
26,MusicDelta_80sRock,4,2,1.0,1.0,1.0,1.0,1.0
27,MusicDelta_80sRock,4,3,1.0,1.0,1.0,1.0,1.0
28,MusicDelta_80sRock,4,4,0.9499943310657596,0.9499888075217683,0.949991569285735,0.926239087333724,0.9499943310657596
