,track_name,slice,drum,recall,precision,f1,jaccard,accuracy
0,MusicDelta_80sRock,0,0,0.7999546485260771,0.6399274396984795,0.7110484036056073,0.6399274396984795,0.7999546485260771
1,MusicDelta_80sRock,0,1,0.8999773242630386,0.8099591841876584,0.8525987903585374,0.8099591841876584,0.8999773242630386
2,MusicDelta_80sRock,0,2,1.0,1.0,1.0,1.0,1.0
3,MusicDelta_80sRock,0,3,1.0,1.0,1.0,1.0,1.0
4,MusicDelta_80sRock,0,4,0.975,1.0,0.9873417721518987,0.975,0.975
5,MusicDelta_80sRock,0,all,0.9349863945578232,0.8832909447045492,0.9084037928668373,0.8788744899810265,0.9349863945578232
6,MusicDelta_80sRock,1,0,0.6704365079365079,0.6878159802162551,0.6788763994858453,0.5580608137405415,0.6704365079365079
7,MusicDelta_80sRock,1,1,0.7545294784580499,0.8443977703861434,0.7965995756320471,0.6980979455720577,0.7545294784580499
8,MusicDelta_80sRock,1,2,0.85,1.0,0.9189189189189189,0.85,0.85
9,MusicDelta_80sRock,1,3,0.95,1.0,0.9743589743589742,0.95,0.95
10,MusicDelta_80sRock,1,4,0.8397675736961451,0.956015747253802,0.89150181128825,0.8187080037800369,0.8397675736961451
11,MusicDelta_80sRock,1,all,0.8129467120181406,0.8938078263133045,0.8503509545939898,0.7689151873923936,0.8129467120181406
12,MusicDelta_80sRock,2,0,0.7999603174603175,0.6768569409720203,0.7332778517904954,0.6599355174477198,0.7999603174603175
13,MusicDelta_80sRock,2,1,0.8602154195011338,0.8203113060158225,0.8388008073265448,0.7770605933505209,0.8602154195011338
14,MusicDelta_80sRock,2,2,1.0,1.0,1.0,1.0,1.0
15,MusicDelta_80sRock,2,3,1.0,1.0,1.0,1.0,1.0
16,MusicDelta_80sRock,2,4,0.975,1.0,0.9873417721518987,0.975,0.975
17,MusicDelta_80sRock,2,all,0.9270351473922902,0.8957438344076736,0.9106703376288562,0.876727216403039,0.9270351473922902
18,MusicDelta_80sRock,3,0,0.810204081632653,0.7775064758867805,0.773939450165898,0.6780540180605688,0.810204081632653
19,MusicDelta_80sRock,3,1,0.7545238095238095,0.8154240530201472,0.7826500601251024,0.6814194886198726,0.7545238095238095
20,MusicDelta_80sRock,3,2,0.825,1.0,0.9041095890410958,0.825,0.825
21,MusicDelta_80sRock,3,3,0.825,1.0,0.9041095890410958,0.825,0.825
22,MusicDelta_80sRock,3,4,0.7749943310657597,0.9445188492465203,0.8513999917323931,0.7556150793972162,0.7749943310657597
23,MusicDelta_80sRock,3,all,0.7979444444444445,0.8800611241888819,0.8351848790173464,0.7473675716135145,0.7979444444444445
24,MusicDelta_80sRock,4,0,0.7999603174603175,0.6768569409720203,0.7332778517904954,0.6599355174477198,0.7999603174603175
25,MusicDelta_80sRock,4,1,0.8999943310657597,0.8999839139778402,0.8999891221264503,0.8451124553100601,0.8999943310657597
26,MusicDelta_80sRock,4,2,0.95,1.0,0.9743589743589742,0.95,0.95
27,MusicDelta_80sRock,4,3,1.0,1.0,1.0,1.0,1.0
28,MusicDelta_80sRock,4,4,0.8749943310657596,0.9479050138931024,0.9099915646346259,0.8531145125037921,0.8749943310657596
29,MusicDelta_80sRock,4,all,0.9049897959183674,0.9007425592095452,0.9028479317394398,0.8575037298550926,0.9049897959183674
30,MusicDelta_80sRock,5,0,0.7704308390022676,0.7251514321021933,0.7441086251454102,0.6469444736839294,0.7704308390022676
31,MusicDelta_80sRock,5,1,0.8749829931972789,0.8076613468865655,0.8399754195866956,0.7874698132144013,0.8749829931972789
32,MusicDelta_80sRock,5,2,0.925,1.0,0.9610389610389611,0.925,0.925
33,MusicDelta_80sRock,5,3,0.95,1.0,0.9743589743589742,0.95,0.95
34,MusicDelta_80sRock,5,4,0.9,1.0,0.9473684210526316,0.9,0.9
35,MusicDelta_80sRock,5,all,0.8840827664399094,0.8972856010154356,0.8905691457776606,0.8370250630532912,0.8840827664399094
36,MusicDelta_80sRock,6,0,0.8101984126984128,0.791269620003747,0.7457417126866523,0.6623955175754437,0.8101984126984128
37,MusicDelta_80sRock,6,1,0.8749829931972789,0.8076613468865655,0.8399754195866956,0.7874698132144013,0.8749829931972789
38,MusicDelta_80sRock,6,2,1.0,1.0,1.0,1.0,1.0
39,MusicDelta_80sRock,6,3,1.0,1.0,1.0,1.0,1.0
40,MusicDelta_80sRock,6,4,0.9147675736961451,0.9588857759027017,0.9349507011625243,0.8932690642858611,0.9147675736961451
41,MusicDelta_80sRock,6,all,0.9199897959183674,0.8904444044550395,0.9030447410559922,0.863627597454977,0.9199897959183674
42,MusicDelta_80sRock,7,0,0.7999716553287982,0.6768758366284282,0.7332937035524202,0.6599539407127174,0.7999716553287982
43,MusicDelta_80sRock,7,1,0.8999886621315193,0.8538249318139178,0.8762992381066586,0.8324793085185699,0.8999886621315193
44,MusicDelta_80sRock,7,2,0.925,1.0,0.9610389610389611,0.925,0.925
45,MusicDelta_80sRock,7,3,0.975,1.0,0.9873417721518987,0.975,0.975
46,MusicDelta_80sRock,7,4,0.9499943310657596,0.9499888075217683,0.949991569285735,0.926239087333724,0.9499943310657596
47,MusicDelta_80sRock,7,all,0.9099909297052154,0.8911224608139324,0.9004578621932674,0.859933174685445,0.9099909297052154
48,MusicDelta_80sRock,8,0,0.7999886621315193,0.7999685076348504,0.7999785847561527,0.7199734700086055,0.7999886621315193
49,MusicDelta_80sRock,8,1,0.7602040816326531,0.7207876412091669,0.7396394944369122,0.6482347975461143,0.7602040816326531
50,MusicDelta_80sRock,8,2,0.925,1.0,0.9610389610389611,0.925,0.925
