,track_name,slice,drum,recall,precision,f1,jaccard,accuracy,zero_one
0,MusicDelta_80sRock,0,0,0.5,0.39997732426303856,0.4444304467232735,0.39997732426303856,0.7999546485260771,0.20004535147392288
1,MusicDelta_80sRock,0,1,0.5,0.4499886621315193,0.47367792908377,0.4499886621315193,0.8999773242630386,0.10002267573696144
2,MusicDelta_80sRock,0,2,1.0,1.0,1.0,1.0,1.0,0.0
3,MusicDelta_80sRock,0,3,1.0,1.0,1.0,1.0,1.0,0.0
4,MusicDelta_80sRock,0,4,1.0,1.0,1.0,1.0,1.0,0.0
5,MusicDelta_80sRock,1,0,0.5,0.4124858276643991,0.4520462840723771,0.4124858276643991,0.8249716553287982,0.17502834467120176
6,MusicDelta_80sRock,1,1,0.5,0.4624914965986395,0.48051489102297923,0.4624914965986395,0.924982993197279,0.07501700680272105
7,MusicDelta_80sRock,1,2,1.0,1.0,1.0,1.0,1.0,0.0
8,MusicDelta_80sRock,1,3,1.0,1.0,1.0,1.0,1.0,0.0
9,MusicDelta_80sRock,1,4,0.5,0.4874971655328798,0.49366943273180264,0.4874971655328798,0.9749943310657596,0.025005668934240388
10,MusicDelta_80sRock,2,0,0.5,0.41248015873015875,0.4520428798190872,0.41248015873015875,0.8249603174603175,0.1750396825396825
11,MusicDelta_80sRock,2,1,0.5,0.4499886621315193,0.47367792908377,0.4499886621315193,0.8999773242630386,0.10002267573696144
12,MusicDelta_80sRock,2,2,1.0,1.0,1.0,1.0,1.0,0.0
13,MusicDelta_80sRock,2,3,1.0,1.0,1.0,1.0,1.0,0.0
14,MusicDelta_80sRock,2,4,1.0,1.0,1.0,1.0,1.0,0.0
15,MusicDelta_80sRock,3,0,0.5,0.39997732426303856,0.4444304467232735,0.39997732426303856,0.7999546485260771,0.20004535147392288
16,MusicDelta_80sRock,3,1,0.5,0.4499886621315193,0.47367792908377,0.4499886621315193,0.8999773242630386,0.10002267573696144
17,MusicDelta_80sRock,3,2,1.0,1.0,1.0,1.0,1.0,0.0
18,MusicDelta_80sRock,3,3,1.0,1.0,1.0,1.0,1.0,0.0
19,MusicDelta_80sRock,3,4,0.5,0.4874971655328798,0.49366943273180264,0.4874971655328798,0.9749943310657596,0.025005668934240388
20,MusicDelta_80sRock,4,0,0.5,0.41248015873015875,0.4520428798190872,0.41248015873015875,0.8249603174603175,0.1750396825396825
21,MusicDelta_80sRock,4,1,0.5,0.4624914965986395,0.48051489102297923,0.4624914965986395,0.924982993197279,0.07501700680272105
22,MusicDelta_80sRock,4,2,1.0,1.0,1.0,1.0,1.0,0.0
23,MusicDelta_80sRock,4,3,1.0,1.0,1.0,1.0,1.0,0.0
24,MusicDelta_80sRock,4,4,0.5,0.4874971655328798,0.49366943273180264,0.4874971655328798,0.9749943310657596,0.025005668934240388
25,MusicDelta_80sRock,5,0,0.5,0.41248299319727894,0.45204458195101954,0.41248299319727894,0.8249659863945579,0.17503401360544213
26,MusicDelta_80sRock,5,1,0.5,0.44999149659863946,0.47367949945846277,0.44999149659863946,0.8999829931972789,0.10001700680272108
27,MusicDelta_80sRock,5,2,1.0,1.0,1.0,1.0,1.0,0.0
28,MusicDelta_80sRock,5,3,1.0,1.0,1.0,1.0,1.0,0.0
29,MusicDelta_80sRock,5,4,1.0,1.0,1.0,1.0,1.0,0.0
30,MusicDelta_80sRock,6,0,0.5,0.39998015873015874,0.4444321964769946,0.39998015873015874,0.7999603174603175,0.20003968253968252
31,MusicDelta_80sRock,6,1,0.5,0.44999149659863946,0.47367949945846277,0.44999149659863946,0.8999829931972789,0.10001700680272108
32,MusicDelta_80sRock,6,2,1.0,1.0,1.0,1.0,1.0,0.0
33,MusicDelta_80sRock,6,3,1.0,1.0,1.0,1.0,1.0,0.0
34,MusicDelta_80sRock,6,4,0.5,0.4874971655328798,0.49366943273180264,0.4874971655328798,0.9749943310657596,0.025005668934240388
35,MusicDelta_80sRock,7,0,0.5,0.4124858276643991,0.4520462840723771,0.4124858276643991,0.8249716553287982,0.17502834467120176
36,MusicDelta_80sRock,7,1,0.5,0.46249433106575966,0.4805164208641568,0.46249433106575966,0.9249886621315193,0.07501133786848069
37,MusicDelta_80sRock,7,2,1.0,1.0,1.0,1.0,1.0,0.0
38,MusicDelta_80sRock,7,3,1.0,1.0,1.0,1.0,1.0,0.0
39,MusicDelta_80sRock,7,4,0.5,0.4874971655328798,0.49366943273180264,0.4874971655328798,0.9749943310657596,0.025005668934240388
40,MusicDelta_80sRock,8,0,0.5,0.4499886621315193,0.47367792908377,0.4499886621315193,0.8999773242630386,0.10002267573696144
41,MusicDelta_80sRock,8,1,0.5,0.4249829931972789,0.45944952104285797,0.4249829931972789,0.8499659863945578,0.15003401360544222
42,MusicDelta_80sRock,8,2,1.0,1.0,1.0,1.0,1.0,0.0
43,MusicDelta_80sRock,8,3,1.0,1.0,1.0,1.0,1.0,0.0
44,MusicDelta_80sRock,8,4,1.0,1.0,1.0,1.0,1.0,0.0
45,MusicDelta_Beatles,0,0,0.4428556619543104,0.4305429579239103,0.4366125209992782,0.3874886621315193,0.7749773242630386,0.22502267573696144
46,MusicDelta_Beatles,0,1,0.44444304467232737,0.4444318468127992,0.44443744567202914,0.3999886621315193,0.7999773242630386,0.20002267573696142
47,MusicDelta_Beatles,0,2,0.45,0.5,0.4736842105263158,0.45,0.9,0.09999999999999998
48,MusicDelta_Beatles,0,3,0.45,0.5,0.4736842105263158,0.45,0.9,0.09999999999999998
49,MusicDelta_Beatles,0,4,0.45,0.5,0.4736842105263158,0.45,0.9,0.09999999999999998
